Rainfall - (MM), Year, Statistics, Country, ISO3
255.7, 1936, Jul Average, Thailand, THA
165.1, 1936, Aug Average, Thailand, THA
204.8, 1936, Sep Average, Thailand, THA
109.1, 1936, Oct Average, Thailand, THA
72.0, 1936, Nov Average, Thailand, THA
30.5, 1936, Dec Average, Thailand, THA
10.0, 1937, Jan Average, Thailand, THA
31.7, 1937, Feb Average, Thailand, THA
30.0, 1937, Mar Average, Thailand, THA
104.2, 1937, Apr Average, Thailand, THA
206.2, 1937, May Average, Thailand, THA
142.4, 1937, Jun Average, Thailand, THA
238.3, 1937, Jul Average, Thailand, THA
236.1, 1937, Aug Average, Thailand, THA
267.6, 1937, Sep Average, Thailand, THA
119.1, 1937, Oct Average, Thailand, THA
85.6, 1937, Nov Average, Thailand, THA
33.1, 1937, Dec Average, Thailand, THA
15.5, 1938, Jan Average, Thailand, THA
17.0, 1938, Feb Average, Thailand, THA
39.1, 1938, Mar Average, Thailand, THA
108.1, 1938, Apr Average, Thailand, THA
206.1, 1938, May Average, Thailand, THA
287.2, 1938, Jun Average, Thailand, THA
271.7, 1938, Jul Average, Thailand, THA
223.7, 1938, Aug Average, Thailand, THA
305.6, 1938, Sep Average, Thailand, THA
168.6, 1938, Oct Average, Thailand, THA
63.6, 1938, Nov Average, Thailand, THA
32.6, 1938, Dec Average, Thailand, THA
15.4, 1939, Jan Average, Thailand, THA
21.2, 1939, Feb Average, Thailand, THA
38.6, 1939, Mar Average, Thailand, THA
91.9, 1939, Apr Average, Thailand, THA
171.2, 1939, May Average, Thailand, THA
188.0, 1939, Jun Average, Thailand, THA
162.8, 1939, Jul Average, Thailand, THA
254.7, 1939, Aug Average, Thailand, THA
281.1, 1939, Sep Average, Thailand, THA
116.6, 1939, Oct Average, Thailand, THA
113.2, 1939, Nov Average, Thailand, THA
34.5, 1939, Dec Average, Thailand, THA
3.8, 1940, Jan Average, Thailand, THA
9.4, 1940, Feb Average, Thailand, THA
6.4, 1940, Mar Average, Thailand, THA
43.9, 1940, Apr Average, Thailand, THA
207.1, 1940, May Average, Thailand, THA
203.3, 1940, Jun Average, Thailand, THA
139.0, 1940, Jul Average, Thailand, THA
257.8, 1940, Aug Average, Thailand, THA
246.9, 1940, Sep Average, Thailand, THA
108.1, 1940, Oct Average, Thailand, THA
51.5, 1940, Nov Average, Thailand, THA
34.8, 1940, Dec Average, Thailand, THA
12.8, 1941, Jan Average, Thailand, THA
20.1, 1941, Feb Average, Thailand, THA
32.8, 1941, Mar Average, Thailand, THA
77.7, 1941, Apr Average, Thailand, THA
228.8, 1941, May Average, Thailand, THA
182.9, 1941, Jun Average, Thailand, THA
151.9, 1941, Jul Average, Thailand, THA
244.4, 1941, Aug Average, Thailand, THA
221.8, 1941, Sep Average, Thailand, THA
191.8, 1941, Oct Average, Thailand, THA
69.7, 1941, Nov Average, Thailand, THA
40.7, 1941, Dec Average, Thailand, THA
26.1, 1942, Jan Average, Thailand, THA
13.1, 1942, Feb Average, Thailand, THA
53.0, 1942, Mar Average, Thailand, THA
151.8, 1942, Apr Average, Thailand, THA
218.7, 1942, May Average, Thailand, THA
256.8, 1942, Jun Average, Thailand, THA
161.3, 1942, Jul Average, Thailand, THA
328.3, 1942, Aug Average, Thailand, THA
301.2, 1942, Sep Average, Thailand, THA
141.2, 1942, Oct Average, Thailand, THA
116.9, 1942, Nov Average, Thailand, THA
54.8, 1942, Dec Average, Thailand, THA
7.1, 1943, Jan Average, Thailand, THA
21.8, 1943, Feb Average, Thailand, THA
63.0, 1943, Mar Average, Thailand, THA
126.0, 1943, Apr Average, Thailand, THA
190.9, 1943, May Average, Thailand, THA
169.1, 1943, Jun Average, Thailand, THA
196.2, 1943, Jul Average, Thailand, THA
245.0, 1943, Aug Average, Thailand, THA
297.9, 1943, Sep Average, Thailand, THA
86.1, 1943, Oct Average, Thailand, THA
88.1, 1943, Nov Average, Thailand, THA
24.3, 1943, Dec Average, Thailand, THA
10.7, 1944, Jan Average, Thailand, THA
23.3, 1944, Feb Average, Thailand, THA
21.9, 1944, Mar Average, Thailand, THA
84.9, 1944, Apr Average, Thailand, THA
194.0, 1944, May Average, Thailand, THA
211.0, 1944, Jun Average, Thailand, THA
178.1, 1944, Jul Average, Thailand, THA
301.8, 1944, Aug Average, Thailand, THA
200.4, 1944, Sep Average, Thailand, THA
193.3, 1944, Oct Average, Thailand, THA
75.6, 1944, Nov Average, Thailand, THA
40.0, 1944, Dec Average, Thailand, THA
25.2, 1945, Jan Average, Thailand, THA
43.4, 1945, Feb Average, Thailand, THA
25.3, 1945, Mar Average, Thailand, THA
112.1, 1945, Apr Average, Thailand, THA
179.8, 1945, May Average, Thailand, THA
283.9, 1945, Jun Average, Thailand, THA
228.1, 1945, Jul Average, Thailand, THA
239.7, 1945, Aug Average, Thailand, THA
269.6, 1945, Sep Average, Thailand, THA
99.1, 1945, Oct Average, Thailand, THA
57.8, 1945, Nov Average, Thailand, THA
46.1, 1945, Dec Average, Thailand, THA
16.4, 1946, Jan Average, Thailand, THA
13.0, 1946, Feb Average, Thailand, THA
45.6, 1946, Mar Average, Thailand, THA
139.2, 1946, Apr Average, Thailand, THA
222.5, 1946, May Average, Thailand, THA
153.8, 1946, Jun Average, Thailand, THA
160.2, 1946, Jul Average, Thailand, THA
199.0, 1946, Aug Average, Thailand, THA
258.6, 1946, Sep Average, Thailand, THA
174.3, 1946, Oct Average, Thailand, THA
55.2, 1946, Nov Average, Thailand, THA
42.4, 1946, Dec Average, Thailand, THA
24.5, 1947, Jan Average, Thailand, THA
21.8, 1947, Feb Average, Thailand, THA
48.9, 1947, Mar Average, Thailand, THA
158.0, 1947, Apr Average, Thailand, THA
155.7, 1947, May Average, Thailand, THA
203.0, 1947, Jun Average, Thailand, THA
199.0, 1947, Jul Average, Thailand, THA
292.1, 1947, Aug Average, Thailand, THA
212.9, 1947, Sep Average, Thailand, THA
120.5, 1947, Oct Average, Thailand, THA
40.7, 1947, Nov Average, Thailand, THA
38.5, 1947, Dec Average, Thailand, THA
7.5, 1948, Jan Average, Thailand, THA
15.3, 1948, Feb Average, Thailand, THA
45.8, 1948, Mar Average, Thailand, THA
135.8, 1948, Apr Average, Thailand, THA
211.0, 1948, May Average, Thailand, THA
175.5, 1948, Jun Average, Thailand, THA
238.1, 1948, Jul Average, Thailand, THA
271.6, 1948, Aug Average, Thailand, THA
268.7, 1948, Sep Average, Thailand, THA
188.3, 1948, Oct Average, Thailand, THA
40.8, 1948, Nov Average, Thailand, THA
6.8, 1948, Dec Average, Thailand, THA
15.2, 1949, Jan Average, Thailand, THA
24.0, 1949, Feb Average, Thailand, THA
28.2, 1949, Mar Average, Thailand, THA
129.8, 1949, Apr Average, Thailand, THA
185.4, 1949, May Average, Thailand, THA
121.1, 1949, Jun Average, Thailand, THA
267.8, 1949, Jul Average, Thailand, THA
286.8, 1949, Aug Average, Thailand, THA
298.2, 1949, Sep Average, Thailand, THA
181.7, 1949, Oct Average, Thailand, THA
113.8, 1949, Nov Average, Thailand, THA
28.9, 1949, Dec Average, Thailand, THA
15.5, 1950, Jan Average, Thailand, THA
14.7, 1950, Feb Average, Thailand, THA
31.5, 1950, Mar Average, Thailand, THA
100.0, 1950, Apr Average, Thailand, THA
200.8, 1950, May Average, Thailand, THA
223.9, 1950, Jun Average, Thailand, THA
194.7, 1950, Jul Average, Thailand, THA
231.6, 1950, Aug Average, Thailand, THA
313.1, 1950, Sep Average, Thailand, THA
234.6, 1950, Oct Average, Thailand, THA
77.4, 1950, Nov Average, Thailand, THA
26.4, 1950, Dec Average, Thailand, THA
24.4, 1951, Jan Average, Thailand, THA
11.2, 1951, Feb Average, Thailand, THA
37.7, 1951, Mar Average, Thailand, THA
79.7, 1951, Apr Average, Thailand, THA
215.5, 1951, May Average, Thailand, THA
208.3, 1951, Jun Average, Thailand, THA
289.6, 1951, Jul Average, Thailand, THA
199.3, 1951, Aug Average, Thailand, THA
306.2, 1951, Sep Average, Thailand, THA
232.5, 1951, Oct Average, Thailand, THA
88.9, 1951, Nov Average, Thailand, THA
33.0, 1951, Dec Average, Thailand, THA
8.1, 1952, Jan Average, Thailand, THA
17.8, 1952, Feb Average, Thailand, THA
91.6, 1952, Mar Average, Thailand, THA
57.8, 1952, Apr Average, Thailand, THA
186.4, 1952, May Average, Thailand, THA
194.5, 1952, Jun Average, Thailand, THA
188.8, 1952, Jul Average, Thailand, THA
284.3, 1952, Aug Average, Thailand, THA
232.1, 1952, Sep Average, Thailand, THA
252.0, 1952, Oct Average, Thailand, THA
63.8, 1952, Nov Average, Thailand, THA
31.0, 1952, Dec Average, Thailand, THA
52.1, 1953, Jan Average, Thailand, THA
