Date,05T,59T,61T,52T,54T,,,,,,,,,,,,,,
04/08/2016,22,N/A,18,21,N/A,,,,,,,,,,,,,,
05/08/2016,26,18,25,31,N/A,,,,,,,,,,,,,,
06/08/2016,18,19,20,24,N/A,,,,,,,,,,,,,,
07/08/2016,16,16,16,18,N/A,,,,,,,,,,,,,,
08/08/2016,14,9,15,16,N/A,,,,,,,,,,,,,,
09/08/2016,20,17,22,22,N/A,,,,,,,,,,,,,,
10/08/2016,25,20,25,27,N/A,,,,,,,,,,,,,,
11/08/2016,26,16,23,24,N/A,,,,,,,,,,,,,,
12/08/2016,21,11,17,20,N/A,,,,,,,,,,,,,,
13/08/2016,22,14,19,20,N/A,,,,,,,,,,,,,,
14/08/2016,20,16,18,24,N/A,,,,,,,,,,,,,,
15/08/2016,23,14,18,22,N/A,,,,,,,,,,,,,,
16/08/2016,19,15,19,20,N/A,,,,,,,,,,,,,,
17/08/2016,22,20,23,21,N/A,,,,,,,,,,,,,,
18/08/2016,28,21,25,32,N/A,,,,,,,,,,,,,,
19/08/2016,26,21,23,28,N/A,,,,,,,,,,,,,,
20/08/2016,21,20,21,21,N/A,,,,,,,,,,,,,,
21/08/2016,29,22,25,25,N/A,,,,,,,,,,,,,,
22/08/2016,23,17,19,25,N/A,,,,,,,,,,,,,,
23/08/2016,25,18,21,23,N/A,,,,,,,,,,,,,,
24/08/2016,26,23,23,28,N/A,,,,,,,,,,,,,,
25/08/2016,23,24,22,25,N/A,,,,,,,,,,,,,,
26/08/2016,22,21,21,21,N/A,,,,,,,,,,,,,,
27/08/2016,16,19,16,19,N/A,,,,,,,,,,,,,,
28/08/2016,22,17,17,19,N/A,,,,,,,,,,,,,,
29/08/2016,17,14,15,18,N/A,,,,,,,,,,,,,,
30/08/2016,14,13,13,16,N/A,,,,,,,,,,,,,,
31/08/2016,19,17,13,20,N/A,,,,,,,,,,,,,,
01/09/2016,20,N/A,16,22,N/A,,,,,,,,,,,,,,
02/09/2016,20,N/A,15,20,N/A,,,,,,,,,,,,,,
03/09/2016,15,9,13,14,N/A,,,,,,,,,,,,,,
04/09/2016,14,9,11,16,N/A,,,,,,,,,,,,,,
05/09/2016,16,9,13,15,N/A,,,,,,,,,,,,,,
06/09/2016,17,11,N/A,16,N/A,,,,,,,,,,,,,,
07/09/2016,13,10,N/A,16,N/A,,,,,,,,,,,,,,
08/09/2016,18,14,16,21,N/A,,,,,,,,,,,,,,
09/09/2016,24,20,25,29,N/A,,,,,,,,,,,,,,
10/09/2016,21,13,17,23,N/A,,,,,,,,,,,,,,
11/09/2016,21,14,16,19,N/A,,,,,,,,,,,,,,
12/09/2016,22,16,16,22,N/A,,,,,,,,,,,,,,
13/09/2016,23,17,17,25,N/A,,,,,,,,,,,,,,
14/09/2016,19,10,15,20,N/A,,,,,,,,,,,,,,
15/09/2016,26,18,N/A,25,N/A,,,,,,,,,,,,,,
16/09/2016,21,14,9,23,N/A,,,,,,,,,,,,,,
17/09/2016,16,11,5,17,N/A,,,,,,,,,,,,,,
18/09/2016,18,11,7,18,N/A,,,,,,,,,,,,,,
19/09/2016,20,16,12,23,N/A,,,,,,,,,,,,,,
20/09/2016,28,21,N/A,31,N/A,,,,,,,,,,,,,,
21/09/2016,25,16,N/A,28,N/A,,,,,,,,,,,,,,
22/09/2016,27,21,N/A,31,N/A,,,,,,,,,,,,,,
23/09/2016,25,29,N/A,36,N/A,,,,,,,,,,,,,,
24/09/2016,29,25,18,37,N/A,,,,,,,,,,,,,,
25/09/2016,17,17,9,N/A,N/A,,,,,,,,,,,,,,
26/09/2016,20,16,N/A,N/A,N/A,,,,,,,,,,,,,,
27/09/2016,17,14,N/A,11,N/A,,,,,,,,,,,,,,
28/09/2016,18,13,N/A,16,N/A,,,,,,,,,,,,,,
29/09/2016,16,13,11,16,N/A,,,,,,,,,,,,,,
30/09/2016,16,14,12,16,N/A,,,,,,,,,,,,,,
01/10/2016,16,11,11,16,N/A,,,,,,,,,,,,,,
02/10/2016,23,17,N/A,22,N/A,,,,,,,,,,,,,,
03/10/2016,22,15,19,18,N/A,,,,,,,,,,,,,,
04/10/2016,21,20,16,22,N/A,,,,,,,,,,,,,,
05/10/2016,32,23,21,27,N/A,,,,,,,,,,,,,,
06/10/2016,24,23,20,26,N/A,,,,,,,,,,,,,,
07/10/2016,22,15,15,19,N/A,,,,,,,,,,,,,,
08/10/2016,20,14,13,18,N/A,,,,,,,,,,,,,,
09/10/2016,20,16,N/A,20,N/A,,,,,,,,,,,,,,
10/10/2016,22,14,N/A,19,N/A,,,,,,,,,,,,,,
11/10/2016,31,24,N/A,37,N/A,,,,,,,,,,,,,,
12/10/2016,35,29,30,37,N/A,,,,,,,,,,,,,,
13/10/2016,44,41,36,54,N/A,,,,,,,,,,,,,,
14/10/2016,41,34,N/A,48,N/A,,,,,,,,,,,,,,
